timestamp,title,price,original_price,shipping,item_url,discount_percentage
2025-11-02 15:07:44,2025 Apple MacBook Air 13-inch M4 Chip 16GB RAM 512GB SSD Midnight MW133LL/A,899.0,899.0,eBay International Shipping,https://www.ebay.com/itm/277116501953?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,0.0
2025-11-02 15:07:44,"2019 Apple MacBook Pro 16"" i7 2.6GHz/16GB/512GB (Space Gray) A2141 - w/Warranty",389.67,2399.0,Shipping info unavailable,https://www.ebay.com/itm/374766179675?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,83.76
2025-11-02 15:07:44,"HP Victus 15.6"" FHD 144Hz Gaming Laptop i7-13620H 16GB RAM 512GB SSD RTX 5060",949.99,1459.99,eBay International Shipping,https://www.ebay.com/itm/297426192688?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,34.93
2025-11-02 15:07:44,"Apple Macbook Pro 14"" 2021 M1 Pro 512GB 16GB RAM Space Gray - Very Good",733.99,733.99,Shipping info unavailable,https://www.ebay.com/itm/157358175274?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,0.0
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,Canon EOS R50 Mirrorless Camera Black + 3 Lens Kit 18-45mm + 32GB + Flash & More,789.95,1054.95,USPS Priority Mail Express International,https://www.ebay.com/itm/336181434990?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,25.12
2025-11-02 15:07:44,Canon EOS R100 Mirrorless Digital Camera with RF-S 18-45mm IS STM Lens,549.95,649.0,Shipping info unavailable,https://www.ebay.com/itm/336086105423?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,15.26
2025-11-02 15:07:44,Canon EF 200mm f2.8 L II USM Lens #Q,400.7,430.86,eBay International Shipping,https://www.ebay.com/itm/146853896899?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,7.0
2025-11-02 15:07:44,Canon PowerShot G7x Mark II 20.1MP Digital Camera 4.2x Optical Zoom Full-HD,1499.95,1499.95,Shipping info unavailable,https://www.ebay.com/itm/222147497689?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,0.0
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,4K Mini Projector HY300 720P WiFi6 Bluetooth BT5.0 Cinema Portable Home Theaters,58.57,65.08,Shipping info unavailable,https://www.ebay.com/itm/126880579034?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,10.0
2025-11-02 15:07:44,"Bose TV Speaker Home Theater Soundbar, Certified Refurbished",159.0,279.0,eBay International Shipping,https://www.ebay.com/itm/184706040293?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,43.01
2025-11-02 15:07:44,Originale LG TV Fernbedienung für AN-MR22GA | MR22GA,29.19,29.19,Warenpost International Premium,https://www.ebay.com/itm/364970533033?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,0.0
2025-11-02 15:07:44,SPANA viark renovar todo tipo Renovar Servidor iks viark sat deco viark expira,58.0,58.0,Shipping info unavailable,https://www.ebay.com/itm/355931625894?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,0.0
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,"Apple iPad Air 10.9"" 4th Gen, 256GB, Wi-Fi - Gray - Very Good - 1 YEAR WARRANTY",289.85,699.0,Shipping info unavailable,https://www.ebay.com/itm/174772394299?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014454,58.53
2025-11-02 15:07:44,"Apple iPad Air 10.9"" 4th Gen, 256GB, Wi-Fi - Blue - Very Good - 1 YEAR WARRANTY",289.85,699.0,eBay International Shipping,https://www.ebay.com/itm/174772399416?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014454,58.53
2025-11-02 15:07:44,"Apple iPad Air 10.9"" 4th Gen, 256GB, Wi-Fi - Space Gray - Good - 1 YEAR WARRANTY",269.85,599.0,eBay International Shipping,https://www.ebay.com/itm/203808716035?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014454,54.95
2025-11-02 15:07:44,"Apple iPad 10.2"" 9th Gen, 64GB, Wi-Fi - Gray - Very Good - 1 YEAR WARRANTY",156.26,399.0,eBay International Shipping,https://www.ebay.com/itm/185243247562?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014454,60.84
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,RULE OF ROSE PS2 NEW SEALED UK VERSION PLAYSTATION 2 WATA CGC UKG RGS GRADED PAL,225.06,225.06,International shipment of items may be subject to customs processing and additional charges.,https://www.ebay.com/itm/286076527146?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014470,0.0
2025-11-02 15:07:44,Logitech G29/G923 F1 Open Wheel Mod 8+ Colours,51.94,51.94,Shipping info unavailable,https://www.ebay.com/itm/396123066522?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014470,0.0
2025-11-02 15:07:44,Sony PS1 PlayStation 1 Console SCPH-7000 Boxed With Manual 6 Games Japanese,135.6,142.73,Shipping info unavailable,https://www.ebay.com/itm/387517188421?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014470,5.0
2025-11-02 15:07:44,GBA SP Housing Cover Case For Gameboy Advance SP Shell Limited Edition DIY New,21.4,21.4,Standard Int'l Shipping,https://www.ebay.com/itm/236097001497?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014470,0.0
2025-11-02 15:07:44,,,,Shipping info unavailable,,0.0
2025-11-02 15:07:44,Samsung Galaxy Buds2 Pro R510 - Good,39.99,39.99,Shipping info unavailable,https://www.ebay.com/itm/256411723549?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014474,0.0
